ID,photo,1,2,3,4,5,6,7,8,9,10,correctedspecies
1,6476,1.2,2,0.4,1.7,0.3,1,1.2,0.8,1,2,coei
2,6460,2,0.5,0.8,1.5,1.8,0.8,0.7,1.2,0.6,1.3,sagu
3,6462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
4,6463,0.3,0.5,0.5,0.9,0.6,0.8,1,0.5,0.3,0.2,sagu
5,6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
6,6469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
7,6432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
8,6435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
9,6436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
10,6437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
11,6438,0.6,0.4,0.6,0.4,1.5,0.6,NA,NA,NA,NA,arte
12,6439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
13,6440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
14,6441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
15,6442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
16,6449,0.5,1.1,0.4,1.6,1.9,0.6,0.2,0.7,1,1,arte
17,6452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
18,6453,0.6,0.4,0.3,0.8,0.5,0.6,0.2,0.4,0.3,1.1,arte
19,6454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
20,6458,0.3,0.7,0.5,0.8,0.4,1,0.2,0.5,1,0.6,arte
21,6459,0.9,0.5,0.3,1,1.3,1.1,0.4,0.3,0.5,0.5,arte
22,6461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
23,6465,0.8,0.4,3,2.3,0.5,1.3,0.6,0.6,0.7,1.1,arte
24,6467,0.4,0.6,1.2,0.4,0.5,0.8,0.5,0.9,1.7,0.8,arte
25,6468,1,1.3,1,0.8,0.7,0.4,0.6,0.7,0.3,0.8,arte
26,6477,1.2,1.2,0.9,0.7,0.7,0.5,0.5,1.1,0.5,0.3,arte
27,6433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
28,6434,0.6,0.8,1,0.4,0.9,0.3,0.3,0.6,0.7,0.5,coei
29,6448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
30,6450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
31,6466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
32,6494,1.1,0.4,0.7,0.8,0.3,1.2,1,0.6,0.7,0.5,coei
33,6495,1.3,1,0.6,0.7,0.8,2.1,1.1,0.5,0.6,1,coei
34,6496,0.4,0.9,0.6,0.7,1.1,0.9,1,0.1,0.2,0.3,coei
35,6497,0.4,1,0.3,0.6,0.7,1.2,1.1,NA,NA,NA,coei
36,6499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
37,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
38,6501,1.4,0.9,0.9,1,0.8,0.6,1,1.2,0.7,0.8,coei
39,6503,1.3,0.5,1.2,1.9,1,1.1,1.2,1,0.8,2,coei
40,6504,2.1,1.8,1,0.5,1.6,0.4,1.8,1.7,0.7,1.2,coei
41,1126,9,3,7,5.5,5,4,8,4.5,5,4,rand
42,1121,3.5,1,3.5,0.5,1,1.5,6,1,0.2,1,rand
43,1116,4.5,2.5,5.5,3,2,1,1.5,2,1,0.5,rand
44,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
45,1106,1.5,0.5,0.5,1,1,0.5,0.5,1,1.5,3,rand
46,1101,3.5,6,2.5,2,8.5,4,3.5,3.5,5,3,rand
47,1096,1.5,2,3,3,3,4.5,3.5,2.5,5,5.5,rand
48,1091,2.5,5,11,1,1.5,2.5,1,2,3,2.5,rand
49,1086,5,3.5,2,6,4.5,4,3.5,14,0.5,3,rand
50,1081,2.5,1.5,5,2.5,3.5,4,2.5,5,2.5,4,rand
51,1076,5.5,5,4,2.5,2.5,3,1,2,3,2.5,rand
52,1071,2.5,3,4.5,5.5,2.5,2.5,1.5,0.5,2,3,rand
53,1066,6,1.5,2,2.5,1,1,3.5,1.5,1.5,4,rand
54,1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
55,1056,1.5,1,3.5,0.5,4,2,7,1.5,0.5,2,rand
56,1050,3.5,3,4,6.5,4,3,1,2,1.5,3,rand
57,1045,6,2.5,1,2.5,2,3,1,2.5,6,1.5,rand
