species,photo,ground.type,percent.cover
coei,6476,rock,82
sagu,6460,rock,10
sagu,6462,rock,0
sagu,6463,rock,5
sagu,6464,rock,1
sagu,6469,rock,0
arte,6432,rock,0
arte,6435,rock,0
arte,6436,rock,0
arte,6437,rock,0
arte,6438,rock,3
arte,6439,rock,0
arte,6440,rock,0
arte,6441,rock,0
arte,6442,rock,0
arte,6449,rock,10
arte,6452,rock,0
arte,6453,rock,12
arte,6454,rock,0
arte,6458,rock,4
arte,6459,rock,3
arte,6461,rock,1
arte,6465,rock,25
arte,6467,rock,25
arte,6468,rock,17
arte,6477,rock,75
coei,6433,rock,0
coei,6434,rock,35
coei,6448,rock,0
coei,6450,rock,1
coei,6466,rock,0
coei,6494,rock,20
coei,6495,rock,22
coei,6496,rock,40
coei,6497,rock,5
coei,6499,rock,3
coei,6500,rock,3
coei,6501,rock,15
coei,6503,rock,15
coei,6504,rock,20
rand,1126,rock,100
rand,1121,rock,8
rand,1116,rock,100
rand,1111,rock,0
rand,1106,rock,3
rand,1101,rock,90
rand,1096,rock,80
rand,1091,rock,100
rand,1086,rock,100
rand,1081,rock,100
rand,1076,rock,20
rand,1071,rock,80
rand,1066,rock,15
rand,1061,rock,0.5
rand,1056,rock,85
rand,1050,rock,95
rand,1045,rock,96
rand,1040,rock,100
rand,1035,rock,100
rand,1030,rock,96
rand,1025,rock,100
rand,1020,rock,100
rand,1015,rock,3
rand,1010,rock,1
rand,1004,rock,98
rand,46-NST,rock,100
rand,45-NST,rock,100
rand,44-NST,rock,80
rand,43-NST,rock,0.5
rand,42-NST,rock,99
rand,41-NST,rock,97
rand,40-NST,rock,60
rand,39-NST,rock,100
rand,38-NST,rock,100
rand,37-NST,rock,100
rand,36-NST,rock,5
rand,35-NST,rock,85
rand,34-NST,rock,15
rand,33-NST,rock,30
rand,32-NST,rock,100
rand,31-NST,rock,2
rand,30-NST,rock,100
rand,29-NST,rock,100
rand,28-NST,rock,100
rand,27-NST,rock,100
rand,26-NST,rock,100
rand,20-NST,rock,40
rand,19-NST,rock,0
rand,18-NST,rock,0
rand,17-NST,rock,0
rand,16-NST,rock,75
rand,15-NST,rock,0
rand,14-NST,rock,25
rand,13-NST,rock,85
rand,12-NST,rock,0
rand,11-NST,rock,55
rand,10-NST,rock,85
rand,9-NST,rock,100
rand,8-NST,rock,0
rand,7-NST,rock,40
rand,6-NST,rock,80
rand,5-NST,rock,90
rand,4-NST,rock,95
rand,3-NST,rock,50
rand,2-NST,rock,35
rand,1-NST,rock,95
rand,P1210832,rock,1
rand,P1210827,rock,0
rand,P1210821,rock,20
rand,P1210816,rock,0
rand,P1210811,rock,0
rand,P1210806,rock,0
rand,P1210801,rock,0
rand,P1210796,rock,0
rand,P1210790,rock,5
rand,P1210785,rock,60
rand,P1210773,rock,5
rand,P1210763,rock,100
rand,P1210758,rock,40
rand,P1210753,rock,1
rand,P1210748,rock,3
rand,P1210743,rock,0
rand,P1210735,rock,75
rand,P1210729,rock,0
rand,P1210724,rock,85
rand,P1210719,rock,100
rand,P1210714,rock,90
rand,P1210708,rock,70
rand,P1210700,rock,15
rand,P1210695,rock,90
rand,P1210690,rock,10
rand,P1210685,rock,15
rand,P1210680,rock,100
rand,P1210675,rock,100
rand,P1210670,rock,98
rand,P1210665,rock,95
sagu,0716-NST,rock,0
sagu,0715-NST,rock,5
sagu,0714-NST,rock,0
sagu,0713-NST,rock,0
sagu,0712-NST,rock,0
sagu,0711-NST,rock,0
sagu,0709-NST,rock,0
sagu,0708-NST,rock,0
sagu,0707-NST,rock,20
sagu,0705-NST,rock,0
sagu,0703-NST,rock,5
sagu,0704-NST,rock,0
sagu,0702-NST,rock,0
sagu,0701-NST,rock,0
sagu,0710-NST,rock,0
ltdu,0701-NST,rock,5
ltdu,0713-NST,rock,0
ltdu,0708-NST,rock,0
ltdu,0707-NST,rock,0
ltdu,0702-NST,rock,2
coei,07127-NST,rock,5
coei,0774-NST,rock,20
coei,0769-NST,rock,60
coei,0768-NST,rock,0
coei,0763-NST,rock,10
coei,07103-NST,rock,2
coei,0713-NST,rock,10
coei,07126-NST,rock,2
coei,07125-NST,rock,5
coei,07124-NST,rock,10
coei,07120-NST,rock,60
coei,07119-NST,rock,10
coei,0745-NST,rock,15
coei,0750-NST,rock,10
coei,0749-NST,rock,30
coei,0738-NST,rock,30
coei,0737-NST,rock,50
coei,0735-NST,rock,10
coei,0729-NST,rock,0
coei,0718-NST,rock,0
coei,005-NST,rock,0
coei,115-NST,rock,25
arte,07279-NST,rock,5
arte,07278-NST,rock,0
arte,07277-NST,rock,0
arte,07191-NST,rock,15
arte,0758-NST,rock,15
arte,0752-NST,rock,5
arte,07276-NST,rock,2
arte,07275-NST,rock,5
arte,07258-NST,rock,0
arte,07257-NST,rock,5
arte,07243-NST,rock,10
arte,07242-NST,rock,0
arte,07226-NST,rock,0
arte,07224-NST,rock,5
arte,07222-NST,rock,0
arte,07219-NST,rock,0
arte,07273-NST,rock,0
arte,07272-NST,rock,0
arte,07271-NST,rock,2
arte,07210-NST,rock,0
arte,07183-NST,rock,2
arte,07182-NST,rock,0
arte,07180-NST,rock,10
arte,07178-NST,rock,2
arte,07171-NST,rock,0
arte,07158-NST,rock,0
arte,07156-NST,rock,5
arte,07154-NST,rock,0
arte,07152-NST,rock,0
arte,07148-NST,rock,5
arte,07133-NST,rock,0
arte,07131-NST,rock,10
arte,07129-NST,rock,5
arte,0757-NST,rock,15
arte,0755-NST,rock,0
arte,0718-NST,rock,0
arte,0712-NST,rock,2
arte,0709-NST,rock,0
arte,07261-NST,rock,0
arte,07201-NST,rock,0
arte,07161-NST,rock,10
arte,07159-NST,rock,0
arte,07157-NST,rock,5
arte,07144-NST,rock,0
arte,07139-NST,rock,0
arte,0730-NST,rock,0
pusa,pusa0701,rock,10
ltdu,ltdu0712,rock,2
coei,coei07999,rock,5
coei,coei07998,rock,20
coei,coei07997,rock,75
coei,coei0794,rock,15
coei,coei0790,rock,20
coei,coei0702,rock,10
arte,arte07998,rock,5
arte,arte07997,rock,2
coei,6476,vegetation,3
sagu,6460,vegetation,90
sagu,6462,vegetation,100
sagu,6463,vegetation,95
sagu,6464,vegetation,99
sagu,6469,vegetation,100
arte,6432,vegetation,100
arte,6435,vegetation,100
arte,6436,vegetation,100
arte,6437,vegetation,100
arte,6438,vegetation,97
arte,6439,vegetation,100
arte,6440,vegetation,100
arte,6441,vegetation,100
arte,6442,vegetation,100
arte,6449,vegetation,90
arte,6452,vegetation,100
arte,6453,vegetation,88
arte,6454,vegetation,100
arte,6458,vegetation,96
arte,6459,vegetation,97
arte,6461,vegetation,99
arte,6465,vegetation,75
arte,6467,vegetation,75
arte,6468,vegetation,83
arte,6477,vegetation,25
coei,6433,vegetation,100
coei,6434,vegetation,65
coei,6448,vegetation,100
coei,6450,vegetation,99
coei,6466,vegetation,100
coei,6494,vegetation,80
coei,6495,vegetation,78
coei,6496,vegetation,60
coei,6497,vegetation,95
coei,6499,vegetation,97
coei,6500,vegetation,97
coei,6501,vegetation,85
coei,6503,vegetation,85
