species,photo,rock#,rock.circumference
coei,6476,1,1.2
sagu,6460,1,2
sagu,6462,1,NA
sagu,6463,1,0.3
sagu,6464,1,NA
sagu,6469,1,NA
arte,6432,1,NA
arte,6435,1,NA
arte,6436,1,NA
arte,6437,1,NA
arte,6438,1,0.6
arte,6439,1,NA
arte,6440,1,NA
arte,6441,1,NA
arte,6442,1,NA
arte,6449,1,0.5
arte,6452,1,NA
arte,6453,1,0.6
arte,6454,1,NA
arte,6458,1,0.3
arte,6459,1,0.9
arte,6461,1,NA
arte,6465,1,0.8
arte,6467,1,0.4
arte,6468,1,1
arte,6477,1,1.2
coei,6433,1,NA
coei,6434,1,0.6
coei,6448,1,NA
coei,6450,1,NA
coei,6466,1,NA
coei,6494,1,1.1
coei,6495,1,1.3
coei,6496,1,0.4
coei,6497,1,0.4
coei,6499,1,NA
coei,6500,1,NA
coei,6501,1,1.4
coei,6503,1,1.3
coei,6504,1,2.1
rand,1126,1,9
rand,1121,1,3.5
rand,1116,1,4.5
rand,1111,1,NA
rand,1106,1,1.5
rand,1101,1,3.5
rand,1096,1,1.5
rand,1091,1,2.5
rand,1086,1,5
rand,1081,1,2.5
rand,1076,1,5.5
rand,1071,1,2.5
rand,1066,1,6
rand,1061,1,NA
rand,1056,1,1.5
rand,1050,1,3.5
rand,1045,1,6
rand,1040,1,5
rand,1035,1,5.5
rand,1030,1,6.5
rand,1025,1,3
rand,1020,1,3
rand,1015,1,NA
rand,1010,1,NA
rand,1004,1,3.5
rand,46-NST,1,2
rand,45-NST,1,4
rand,44-NST,1,1
rand,43-NST,1,NA
rand,42-NST,1,2
rand,41-NST,1,2.5
rand,40-NST,1,2.5
rand,39-NST,1,2
rand,38-NST,1,4
rand,37-NST,1,3
rand,36-NST,1,3
rand,35-NST,1,2
rand,34-NST,1,2.5
rand,33-NST,1,2.5
rand,32-NST,1,5
rand,31-NST,1,0.5
rand,30-NST,1,2.5
rand,29-NST,1,7.5
rand,28-NST,1,7.5
rand,27-NST,1,3
rand,26-NST,1,1
rand,20-NST,1,2
rand,19-NST,1,NA
rand,18-NST,1,NA
rand,17-NST,1,NA
rand,16-NST,1,4.5
